Catégorie,Synonymes,,,,,
Disciplines,,,,,,
Français,Lettres,Lecture,Ecriture,,,
Mathématiques,Maths,Math,Algèbre,Numération,Calcul,Géométrie
Histoire et Géographie,HG,histoire,géo,questionner le monde,explorer le monde,
Langues vivantes,anglais,espagnol,allemand,LV1,LV2,
Enseignement Moral et Civique,EMC,éducation civique,E.M.C.,,,
Sciences et technologies,techno,SVT,,,,
Arts,Arts plastiques,Histoire de l'art,Education musicale,Musique,,
E.P.S.,Education physique et sportive,EPS,Sport,,,
Thématiques,,,,,,
Gestion de classe,gérer sa classe,climat de classe,vie de classe,,,
Communauté éducative,parents,hiérarchie,direction,,,
Développement personnel et professionnel,dév pro,dev perso,développement personnel,,,
Documents de référence,textes officiels,docs de référence,,,,
Initiatives ailleurs,à l'étranger,,,,,
Niveau de classe,,,,,,
Maternelle,mater,primaire,,,,
PS,petite section,cycle 1,,,,
TPS,très petite section,,,,,
GS,grande section,cycle 1,,,,
MS,moyenne section,cycle 1,,,,
Elémentaire,primaire,,,,,
CP,cours préparatoire,cycle 2,,,,
CE1,cours élémentaire,cycle 2,,,,
CE2,cours élémentaire,cycle 2,,,,
CM1,cours moyen,cycle 3,,,,
CM2,cours moyen,cycle 3,,,,
Collège,,,,,,
6e,sixième,cycle 3,,,,
5e,cinquième,cycle 4,,,,
4e,quatrième,cycle 4,,,,
3e,troisième,cycle 4,,,,
Lycée,,,,,,
2nde,seconde,,,,,
1ère,première,,,,,
Terminale,term,,,,,
Bac Pro,bac professionnel,,,,,
Type de contenu,,,,,,
Vidéo,conférence vidéo,reportage,film,court-métrage,long-métrage,
"Infographie, Image, Photo",animation visuelle,visuel,photographie,photos,,
Texte,PDF,article,mémento,revue de littérature,dossier,
"Application, Activité en ligne",ressource technique,ressource en ligne,,,,
Audio,émission radio,podcast,,,,
Théorique / Pratique,,,,,,
Théorique,,,,,,
Pratique,,,,,,
